,Habitantes,Máximo de publicadores,Un publicador por cada,Porcentaje de aumento sobre,Número de bautizados,Promedio de precursores,Número de congregaciones,Asistencia a la conmemoración,Promedio de publicadores
2017,31826018.0,128467.0,248.0,2.0,4461.0,28889.0,1482.0,360210.0,
2018,31237385.0,131624.0,237.0,2.0,3913.0,28750.0,1493.0,370882.0,
2019,32510000.0,132559.0,252.0,2.0,4855.0,28724.0,1562.0,398335.0,128834.0
2020,32626000.0,133170.0,252.0,1.0,3441.0,29041.0,1598.0,355914.0,129692.0
