,Habitantes,Máximo de publicadores,Un publicador por cada,Porcentaje de aumento sobre,Número de bautizados,Promedio de precursores,Número de congregaciones,Asistencia a la conmemoración,Promedio de publicadores
2017,16626000.0,92752.0,179.0,3.0,3552.0,16824.0,1074.0,267182.0,
2018,17023408.0,97168.0,175.0,3.0,4449.0,17887.0,1119.0,276542.0,
2019,17374000.0,100038.0,178.0,3.0,4175.0,18462.0,1154.0,290701.0,97454.0
2020,17643000.0,101387.0,178.0,2.0,3332.0,19096.0,1214.0,298855.0,99381.0
