,Habitantes,Máximo de publicadores,Un publicador por cada,Porcentaje de aumento sobre,Número de bautizados,Promedio de precursores,Número de congregaciones,Asistencia a la conmemoración,Promedio de publicadores
2017,44044811.0,150823.0,292.0,1.0,3962.0,24676.0,1999.0,312070.0,
2018,44494502.0,153342.0,290.0,1.0,4229.0,24075.0,1980.0,312994.0,
2019,44781000.0,154673.0,292.0,2.0,4917.0,24422.0,1976.0,330166.0,153203.0
2020,45196000.0,156765.0,292.0,1.0,3080.0,25252.0,1976.0,355842.0,154786.0
