,Habitantes,Máximo de publicadores,Un publicador por cada,Porcentaje de aumento sobre,Número de bautizados,Promedio de precursores,Número de congregaciones,Asistencia a la conmemoración,Promedio de publicadores
2017,208053804.0,858799.0,242.0,4.0,31740.0,106202.0,12135.0,1822259.0,
2018,208888781.0,869537.0,240.0,3.0,32457.0,113750.0,12270.0,1827079.0,
2019,210396000.0,893784.0,240.0,2.0,32943.0,116547.0,12408.0,1922286.0,875987.0
2020,211959000.0,897056.0,239.0,1.0,29330.0,121295.0,12531.0,1627323.0,888581.0
