,Habitantes,Máximo de publicadores en 2017,"Proporción, un publicador por cada:",% de aumento sobre 2016,Número de bautizados en 2017,Promedio de precursores,Número de congregaciones,Asistencia a la Conmemoración
Albania,3204000.0,5637.0,568.0,2.0,230.0,1351.0,89.0,11927.0
Alemania,82315658.0,165470.0,497.0,0.0,2839.0,13699.0,2118.0,267296.0
Andorra,72280.0,178.0,406.0,9.0,1.0,18.0,3.0,352.0
Angola,26849678.0,143322.0,187.0,12.0,11758.0,19631.0,1913.0,617099.0
Anguila,17087.0,81.0,211.0,3.0,1.0,10.0,2.0,297.0
Antigua,91889.0,485.0,189.0,1.0,15.0,49.0,7.0,1398.0
Argentina,44044811.0,150823.0,292.0,1.0,3962.0,24676.0,1999.0,312070.0
Armenia,2986500.0,10974.0,272.0,-1.0,295.0,2221.0,134.0,21874.0
Aruba,105000.0,1072.0,98.0,3.0,34.0,87.0,14.0,2879.0
Australia,24658074.0,67748.0,364.0,1.0,1272.0,6348.0,798.0,116274.0
Austria,8773686.0,21567.0,407.0,0.0,411.0,1667.0,301.0,34712.0
Azerbaiyán,9810000.0,1414.0,6938.0,2.0,72.0,349.0,14.0,2865.0
Azores,245283.0,755.0,325.0,1.0,25.0,90.0,15.0,1512.0
Bahamas,395000.0,1702.0,232.0,-1.0,43.0,244.0,27.0,4375.0
Bangladesh,161200886.0,307.0,525084.0,9.0,6.0,138.0,6.0,976.0
Barbados,292336.0,2529.0,116.0,-1.0,48.0,206.0,30.0,6003.0
Bélgica,11322088.0,25480.0,444.0,0.0,404.0,1864.0,348.0,42998.0
Belice,375200.0,2628.0,143.0,1.0,52.0,516.0,61.0,8348.0
Benín,11458611.0,12939.0,886.0,3.0,663.0,1663.0,202.0,43514.0
Bermudas,61000.0,480.0,127.0,-3.0,6.0,89.0,5.0,990.0
Bielorrusia,9495500.0,5913.0,1606.0,0.0,186.0,1205.0,78.0,9767.0
Bolivia,11145770.0,27699.0,402.0,4.0,976.0,5947.0,372.0,80663.0
Bonaire,25000.0,131.0,191.0,-9.0,0.0,14.0,2.0,333.0
Bosnia-Herzegovina,3531159.0,1144.0,3087.0,-2.0,4.0,192.0,16.0,1855.0
Botsuana,2351673.0,2245.0,1048.0,3.0,68.0,295.0,44.0,6550.0
Brasil,208053804.0,858799.0,242.0,4.0,31740.0,106202.0,12135.0,1822259.0
Bulgaria,7085000.0,2475.0,2863.0,2.0,51.0,690.0,56.0,5327.0
Burkina Faso,19173322.0,1863.0,10292.0,4.0,69.0,279.0,46.0,5009.0
Burundi,9564000.0,13927.0,687.0,3.0,768.0,2091.0,267.0,51909.0
Cabo Verde,560899.0,2239.0,251.0,2.0,103.0,423.0,33.0,7374.0
Caimán (islas),62000.0,257.0,241.0,3.0,6.0,31.0,3.0,631.0
Camboya,15517635.0,1120.0,13855.0,10.0,42.0,617.0,14.0,2791.0
Camerún,24994885.0,43092.0,580.0,2.0,1517.0,4945.0,461.0,100674.0
Canadá,36766975.0,115580.0,318.0,0.0,1902.0,12939.0,1406.0,183587.0
Centroafricana. Rep,4659000.0,2763.0,1686.0,3.0,182.0,326.0,53.0,17255.0
Chad,14900000.0,863.0,17265.0,13.0,59.0,76.0,18.0,4312.0
Checa. Rep,10588063.0,15587.0,679.0,0.0,226.0,1263.0,219.0,25837.0
Chile,18373917.0,78603.0,234.0,1.0,1872.0,13201.0,991.0,175877.0
Chipre,885600.0,2600.0,341.0,1.0,65.0,454.0,40.0,4709.0
Chuuk,48651.0,46.0,1058.0,-7.0,0.0,15.0,2.0,225.0
Colombia,49465000.0,173802.0,285.0,2.0,6380.0,27056.0,2359.0,515800.0
Congo. Rep del,4893896.0,7270.0,673.0,10.0,416.0,607.0,81.0,31230.0
Congo. Rep Dem del,82800771.0,216696.0,382.0,-2.0,14276.0,20685.0,3763.0,1156482.0
Cook (islas),18100.0,213.0,85.0,1.0,1.0,30.0,3.0,547.0
Corea del Sur,51753820.0,100245.0,516.0,0.0,1743.0,42554.0,1300.0,132497.0
Costa de Marfil,23865304.0,11948.0,1997.0,3.0,498.0,1682.0,324.0,75233.0
Costa Rica,4909600.0,31423.0,156.0,2.0,1159.0,3654.0,447.0,71445.0
Croacia,4284889.0,5206.0,823.0,-3.0,85.0,478.0,60.0,7944.0
Cuba,11475982.0,95385.0,120.0,0.0,2780.0,10307.0,1569.0,220661.0
Curazao,161000.0,2123.0,76.0,0.0,49.0,233.0,26.0,5310.0
Dinamarca,5760694.0,14669.0,393.0,0.0,194.0,1026.0,175.0,21301.0
Dominica,73897.0,453.0,163.0,-4.0,6.0,74.0,10.0,1365.0
Dominicana. Rep,10800857.0,38286.0,282.0,1.0,1449.0,7487.0,585.0,120171.0
Ecuador,16626000.0,92752.0,179.0,3.0,3552.0,16824.0,1074.0,267182.0
El Salvador,6168800.0,41424.0,149.0,1.0,1036.0,5625.0,709.0,90332.0
Eslovaquia,5437752.0,11395.0,477.0,0.0,208.0,966.0,139.0,20847.0
Eslovenia,2074788.0,1881.0,1103.0,-2.0,29.0,241.0,30.0,2934.0
España,45929057.0,112916.0,407.0,1.0,2037.0,16131.0,1499.0,188092.0
Estados Unidos,324459000.0,1232293.0,263.0,1.0,27674.0,181879.0,13578.0,2459741.0
Estonia,1315635.0,4053.0,325.0,0.0,61.0,516.0,56.0,6159.0
Etiopía,100000000.0,10355.0,9657.0,1.0,392.0,2454.0,222.0,24910.0
Feroe (islas),50030.0,130.0,385.0,-3.0,1.0,28.0,4.0,186.0
Filipinas,103320222.0,210914.0,490.0,3.0,10781.0,44860.0,3383.0,575813.0
Finlandia,5508714.0,18372.0,300.0,-1.0,236.0,2105.0,291.0,25447.0
Fiyi,902547.0,3278.0,275.0,3.0,152.0,489.0,80.0,11986.0
Francia,64979548.0,128980.0,504.0,1.0,2472.0,15219.0,1708.0,220124.0
Gabón,1772255.0,4499.0,394.0,2.0,166.0,599.0,50.0,12704.0
Gambia,2105164.0,213.0,9883.0,-8.0,8.0,28.0,4.0,576.0
Georgia,3718200.0,18150.0,205.0,-1.0,395.0,3393.0,225.0,30044.0
Ghana,28833629.0,135498.0,213.0,3.0,6743.0,15267.0,2019.0,340731.0
Gibraltar,32348.0,124.0,261.0,-4.0,0.0,17.0,2.0,171.0
Gran Bretaña,64311135.0,137468.0,468.0,0.0,2216.0,14302.0,1626.0,222201.0
Granada,117724.0,569.0,207.0,1.0,4.0,71.0,10.0,1446.0
Grecia,10815197.0,28773.0,376.0,0.0,510.0,4201.0,370.0,44748.0
Groenlandia,55860.0,173.0,323.0,3.0,1.0,39.0,5.0,348.0
Guadalupe,403544.0,8207.0,49.0,0.0,198.0,726.0,120.0,19092.0
Guam,159358.0,726.0,220.0,0.0,21.0,142.0,9.0,1852.0
Guatemala,17033200.0,40222.0,423.0,2.0,1783.0,6572.0,902.0,96767.0
Guayana Francesa,282731.0,2614.0,108.0,3.0,93.0,428.0,49.0,10049.0
Guinea,13371995.0,929.0,14394.0,7.0,55.0,119.0,20.0,3728.0
Guinea-Bissau,1865108.0,170.0,10971.0,8.0,5.0,45.0,3.0,745.0
Guinea Ecuatorial,778358.0,2147.0,363.0,9.0,142.0,255.0,17.0,7670.0
Guyana,773651.0,3545.0,218.0,2.0,119.0,500.0,48.0,12315.0
Haití,9993000.0,20472.0,488.0,0.0,1057.0,2853.0,290.0,79415.0
Honduras,8314200.0,23106.0,360.0,0.0,987.0,4435.0,445.0,65718.0
Hong Kong,7389500.0,5452.0,1355.0,0.0,454.0,1041.0,63.0,9101.0
Hungría,9784000.0,21853.0,448.0,-2.0,392.0,1942.0,295.0,37831.0
India,1348399000.0,46996.0,28692.0,4.0,2592.0,7821.0,660.0,126809.0
Indonesia,261000000.0,27475.0,9500.0,3.0,675.0,4136.0,492.0,56795.0
Irlanda,6632107.0,6747.0,983.0,3.0,68.0,1001.0,120.0,12082.0
Islandia,335679.0,377.0,890.0,0.0,8.0,52.0,7.0,695.0
Israel,8952000.0,1707.0,5244.0,5.0,46.0,268.0,30.0,3594.0
Italia,60589445.0,251192.0,241.0,0.0,4542.0,36938.0,2955.0,431035.0
Jamaica,2890000.0,11525.0,251.0,-2.0,327.0,1559.0,186.0,33029.0
Japón,127974958.0,213473.0,599.0,0.0,1970.0,65821.0,3047.0,291158.0
Kazajistán,18054014.0,17639.0,1024.0,-1.0,411.0,3781.0,260.0,30112.0
Kenia,49699862.0,28222.0,1761.0,2.0,1700.0,3605.0,639.0,70011.0
Kirguistán,6140000.0,5235.0,1173.0,1.0,225.0,1184.0,71.0,10067.0
Kiribati,116405.0,179.0,650.0,-5.0,11.0,34.0,4.0,403.0
Kosovo,2350000.0,269.0,8736.0,6.0,2.0,110.0,8.0,625.0
Kosrae,6616.0,19.0,348.0,-15.0,0.0,5.0,1.0,106.0
Lesoto,2189902.0,4067.0,538.0,1.0,230.0,470.0,90.0,9955.0
Letonia,1935800.0,2278.0,850.0,-1.0,42.0,336.0,36.0,3366.0
Liberia,4176265.0,6808.0,613.0,2.0,379.0,709.0,138.0,49606.0
Liechtenstein,38076.0,89.0,428.0,4.0,1.0,1.0,1.0,148.0
Lituania,2817537.0,3056.0,922.0,0.0,66.0,445.0,46.0,4747.0
Luxemburgo,590667.0,2172.0,272.0,1.0,59.0,165.0,33.0,3889.0
Macao,648400.0,305.0,2126.0,0.0,5.0,74.0,4.0,630.0
Macedonia,2072490.0,1320.0,1570.0,-1.0,58.0,175.0,24.0,2821.0
Madagascar,25612972.0,34980.0,732.0,5.0,1224.0,5978.0,736.0,139608.0
Madeira,254876.0,1119.0,228.0,-1.0,24.0,105.0,18.0,1834.0
Malasia,31500000.0,5069.0,6214.0,2.0,151.0,1387.0,118.0,12780.0
Malaui,18422948.0,93412.0,197.0,0.0,10854.0,7127.0,1540.0,315784.0
Mali,18578509.0,307.0,60516.0,1.0,7.0,51.0,7.0,1267.0
Malta,428000.0,757.0,565.0,3.0,15.0,96.0,9.0,1204.0
Malvinas (islas),2910.0,11.0,265.0,0.0,0.0,1.0,1.0,23.0
Marshall (islas),69747.0,188.0,371.0,-5.0,6.0,30.0,4.0,888.0
Martinica,384896.0,4809.0,80.0,0.0,118.0,618.0,65.0,10310.0
Mauricio,1265138.0,1922.0,658.0,1.0,34.0,212.0,25.0,4359.0
Mayotte,253045.0,165.0,1534.0,1.0,11.0,41.0,3.0,367.0
México,130355300.0,871207.0,150.0,2.0,32408.0,145041.0,13331.0,2257346.0
Moldavia,4052000.0,19553.0,207.0,-1.0,490.0,2365.0,233.0,34657.0
Mongolia,2976877.0,482.0,6176.0,1.0,15.0,205.0,10.0,1275.0
Montenegro,631490.0,271.0,2330.0,3.0,2.0,65.0,5.0,566.0
Montserrat,5292.0,27.0,196.0,25.0,0.0,12.0,1.0,158.0
Mozambique,29879087.0,59990.0,498.0,5.0,3236.0,5206.0,1254.0,283861.0
Myanmar,54874536.0,4296.0,12773.0,2.0,158.0,639.0,79.0,8659.0
Namibia,2579051.0,2473.0,1043.0,3.0,168.0,263.0,45.0,7779.0
Nauru,10301.0,21.0,491.0,7.0,1.0,2.0,1.0,123.0
Nepal,28441000.0,2506.0,11349.0,6.0,132.0,861.0,40.0,7346.0
Nicaragua,6223400.0,29082.0,214.0,2.0,1054.0,4487.0,491.0,88198.0
Nieves,12000.0,62.0,194.0,-9.0,0.0,3.0,1.0,239.0
Níger,21563607.0,316.0,68239.0,5.0,6.0,38.0,7.0,866.0
Nigeria,190886000.0,381398.0,500.0,3.0,13531.0,39389.0,6533.0,800874.0
Niue,1614.0,24.0,67.0,0.0,0.0,3.0,1.0,67.0
Norfolk (isla),1748.0,7.0,250.0,0.0,0.0,0.0,1.0,18.0
Noruega,5258317.0,11652.0,451.0,0.0,214.0,1064.0,167.0,18100.0
Nueva Caledonia,280000.0,2383.0,117.0,2.0,81.0,244.0,34.0,5964.0
Nueva Zelanda,4817903.0,14150.0,340.0,0.0,363.0,1334.0,187.0,26735.0
Países Bajos,17153292.0,29756.0,576.0,0.0,494.0,2001.0,360.0,50429.0
Pakistán,197015955.0,1109.0,177652.0,4.0,27.0,99.0,19.0,3956.0
Palaos,21108.0,85.0,248.0,5.0,3.0,13.0,2.0,231.0
Palestino. Territorio,4816000.0,83.0,58024.0,4.0,3.0,11.0,2.0,177.0
Panamá,4056300.0,17620.0,230.0,4.0,571.0,3030.0,326.0,53494.0
Papúa Nueva Guinea,7933841.0,4291.0,1849.0,0.0,277.0,518.0,116.0,34395.0
Paraguay,6838788.0,10413.0,657.0,3.0,372.0,1825.0,230.0,24430.0
Perú,31826018.0,128467.0,248.0,2.0,4461.0,28889.0,1482.0,360210.0
Polonia,38432992.0,118036.0,326.0,-1.0,1571.0,8244.0,1294.0,185246.0
Ponapé,35981.0,68.0,529.0,-10.0,0.0,23.0,1.0,209.0
Portugal,9809414.0,49466.0,198.0,0.0,994.0,4638.0,652.0,87239.0
Puerto Rico,3663000.0,25187.0,145.0,-2.0,560.0,3865.0,306.0,50492.0
Reunión,876562.0,3270.0,268.0,3.0,83.0,426.0,38.0,6517.0
Rodríguez,42638.0,53.0,804.0,14.0,2.0,8.0,1.0,154.0
Rota,2477.0,11.0,225.0,0.0,0.0,3.0,1.0,29.0
Ruanda,11809295.0,28972.0,408.0,4.0,1680.0,5146.0,571.0,80093.0
Rumania,21136000.0,40101.0,527.0,-1.0,886.0,3956.0,551.0,75587.0
Saba,1800.0,12.0,150.0,22.0,0.0,3.0,0.0,74.0
Saipán,48200.0,245.0,197.0,7.0,11.0,40.0,3.0,731.0
Salomón (islas),611343.0,2066.0,296.0,0.0,62.0,250.0,53.0,10405.0
Samoa,196006.0,510.0,384.0,-3.0,37.0,95.0,13.0,2385.0
Samoa Norteamericana,55519.0,189.0,294.0,-11.0,0.0,38.0,3.0,625.0
San Bartolomé,9567.0,34.0,281.0,4.0,0.0,6.0,1.0,55.0
San Cristóbal,40715.0,217.0,188.0,5.0,3.0,27.0,4.0,705.0
San Eustaquio,4020.0,29.0,139.0,8.0,0.0,3.0,1.0,95.0
San Marino,33196.0,191.0,174.0,-3.0,0.0,30.0,2.0,306.0
San Martín (terr francés),36457.0,311.0,117.0,-2.0,2.0,25.0,5.0,954.0
San Martín (terr holandés),42083.0,344.0,122.0,-3.0,15.0,38.0,5.0,1101.0
San Pedro y Miquelón,6320.0,14.0,451.0,0.0,0.0,7.0,1.0,14.0
San Vicente y las Granadinas,102089.0,344.0,297.0,0.0,8.0,43.0,8.0,1139.0
Santa Elena,3973.0,115.0,35.0,-3.0,1.0,0.0,3.0,269.0
Santa Lucía,164994.0,783.0,211.0,1.0,17.0,106.0,11.0,2177.0
Santo Tomé y Príncipe,201025.0,831.0,242.0,4.0,49.0,133.0,13.0,3384.0
Senegal,15887044.0,1353.0,11742.0,5.0,37.0,170.0,26.0,2795.0
Serbia,8118146.0,3922.0,2070.0,0.0,93.0,626.0,67.0,8144.0
Seychelles,94737.0,341.0,278.0,0.0,13.0,44.0,4.0,953.0
Sierra Leona,6774752.0,2262.0,2995.0,5.0,101.0,261.0,39.0,8831.0
Sri Lanka,20894716.0,6165.0,3389.0,2.0,194.0,817.0,114.0,14570.0
Suazilandia,1323468.0,3212.0,412.0,2.0,144.0,302.0,81.0,9020.0
Sudáfrica,55523510.0,104395.0,532.0,2.0,3525.0,12957.0,2047.0,267800.0
Sudán,40533330.0,703.0,57658.0,2.0,16.0,83.0,15.0,2517.0
Sudán del Sur,12575714.0,1334.0,9427.0,-1.0,111.0,172.0,35.0,5225.0
Suecia,9967637.0,22418.0,445.0,0.0,293.0,2391.0,309.0,34966.0
Suiza,8420000.0,19251.0,437.0,0.0,340.0,1243.0,273.0,31952.0
Surinam,558368.0,3106.0,180.0,3.0,120.0,338.0,55.0,10237.0
Tahití,268207.0,3219.0,83.0,1.0,108.0,515.0,48.0,9136.0
Tailandia,68414135.0,4868.0,14054.0,5.0,114.0,1758.0,122.0,9535.0
Taiwán,23556169.0,10498.0,2244.0,4.0,611.0,3536.0,169.0,19545.0
Tanzania,57310019.0,17878.0,3206.0,5.0,1302.0,1923.0,465.0,56344.0
Timor Oriental,1242616.0,349.0,3561.0,5.0,34.0,73.0,5.0,1002.0
Tinián,2500.0,17.0,147.0,-24.0,0.0,2.0,1.0,45.0
Togo,7691915.0,20683.0,372.0,3.0,846.0,2145.0,297.0,66927.0
Tonga,107986.0,221.0,489.0,-5.0,15.0,26.0,3.0,582.0
Trinidad y Tobago,1368143.0,9892.0,138.0,1.0,221.0,1329.0,126.0,23585.0
Turcas y Caicos (islas),35000.0,384.0,91.0,1.0,10.0,49.0,6.0,1215.0
Turquía,79815000.0,3030.0,26342.0,7.0,118.0,629.0,40.0,5431.0
Tuvalu,9975.0,125.0,80.0,60.0,6.0,5.0,1.0,178.0
Ucrania,41882079.0,140300.0,299.0,-1.0,3125.0,19888.0,1610.0,229126.0
Uganda,37956000.0,7542.0,5033.0,3.0,517.0,1092.0,149.0,24837.0
Uruguay,3493205.0,11825.0,295.0,1.0,297.0,1233.0,156.0,23426.0
Vanuatu,284486.0,770.0,369.0,8.0,87.0,81.0,15.0,2925.0
Venezuela,31570000.0,149355.0,211.0,2.0,6765.0,33353.0,1886.0,478266.0
Vírgenes Brit (islas),31000.0,241.0,129.0,-7.0,0.0,34.0,4.0,802.0
Vírgenes de EE UU (islas),105000.0,607.0,173.0,-2.0,14.0,112.0,10.0,1503.0
Wallis y Futuna (islas),11200.0,46.0,243.0,8.0,0.0,1.0,1.0,198.0
Yap,11376.0,27.0,421.0,-7.0,1.0,10.0,1.0,112.0
Zambia,16405229.0,191311.0,86.0,3.0,11884.0,15232.0,3126.0,883246.0
Zimbabue,16337760.0,46440.0,352.0,1.0,2417.0,6365.0,1239.0,120065.0
33 países más,0.0,218096.0,0.0,-0.8,5835.0,45749.0,3242.0,354497.0
Gran total (240 países y territorios),0.0,8457107.0,0.0,1.4,284212.0,1249946.0,120053.0,20175477.0
