,Habitantes,Máximo de publicadores,Un publicador por cada,Porcentaje de aumento sobre,Número de bautizados,Promedio de precursores,Número de congregaciones,Asistencia a la conmemoración,Promedio de publicadores
2017,130355300.0,871207.0,150.0,2.0,32408.0,145041.0,13331.0,2257346.0,
2018,131918726.0,871339.0,151.0,1.0,29134.0,143820.0,13245.0,2214594.0,
2019,127576000.0,874491.0,148.0,1.0,30403.0,138474.0,13074.0,2258524.0,862590.0
2020,128933000.0,874144.0,149.0,0.0,22627.0,137818.0,13032.0,1954849.0,863625.0
