,Habitantes,Máximo de publicadores,Un publicador por cada,Porcentaje de aumento sobre,Número de bautizados,Promedio de precursores,Número de congregaciones,Asistencia a la conmemoración,Promedio de publicadores
2017,324459000.0,1232293.0,263.0,1.0,27674.0,181879.0,13578.0,2459741.0,
2018,326767000.0,1234877.0,265.0,0.0,26618.0,181822.0,13016.0,2441125.0,
2019,329065000.0,1237054.0,273.0,0.0,28611.0,182882.0,12594.0,2416752.0,1207438.0
2020,331003000.0,1242976.0,273.0,0.0,24462.0,185616.0,12355.0,2068674.0,1210950.0
